gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold_CE	genelabels
g55	1613.22437097197	2.45161799422357	0.127975403036159	19.1527876710416	9.17417508793546e-82	8.95032521578983e-78	TRUE	g55
g808	945.80215903066	-2.83010000992676	0.154039628274805	-18.3611595109041	2.68805874514902e-75	1.31123505588369e-71	TRUE	g808
g398	4659.09624110889	2.15707259451319	0.161251878913042	13.3763846265058	8.30918041353627e-41	2.702145470482e-37	TRUE	g398
g136	2839.01276839903	1.9852269463443	0.151852312868833	13.07257566431	4.72385422618488e-39	1.15214804576649e-35	TRUE	g136
g79	3761.74906602967	1.98857529082104	0.152654813775936	13.025978752363	8.70773009230979e-39	1.69905229561149e-35	TRUE	g79
g646	1780.58290968488	-1.68614333888275	0.137567144513754	-12.255772481448	1.56451351258607e-34	2.54389897146495e-31	TRUE	g646
g914	308.980669221368	-2.71033972697892	0.232884172369863	-11.6171647717329	3.37139613967541e-31	4.69876296266762e-28	TRUE	g914
g690	3057.09121567942	-2.32389722392923	0.202998229751911	-11.4467898012289	2.44015667928995e-30	2.9757710703941e-27	TRUE	g690
g377	1029.57279586575	1.59095964365374	0.145650835366368	10.9219143009117	9.0566542695194e-28	9.81741322815903e-25	TRUE	g377
g46	3749.38769910759	2.28174784248992	0.21235171405445	10.7445535916593	6.28652941548249e-27	6.13313809774472e-24	TRUE	g46
g777	3744.1106286703	-2.57238840227223	0.243820639419432	-10.5499345676958	5.08324824851331e-26	4.50837908295416e-23	TRUE	
g393	197.343226295366	1.74726838433555	0.166436340209707	10.4896394892025	9.63954848937591e-26	7.81386680594343e-23	TRUE	
g429	17603.3123909815	1.25372872978992	0.119603328478952	10.482352651927	1.0412081639736e-25	7.81386680594343e-23	TRUE	
g983	250.716832084742	-1.82559154762585	0.17423163209421	-10.4699200472684	1.18743254244641e-25	8.274708488648e-23	TRUE	
g554	511.341251628221	-1.63085933193529	0.157761206711619	-10.3343756062676	4.92609673292438e-25	3.20393331509402e-22	TRUE	
g988	7638.52312806621	-1.65555846470832	0.161994646325429	-10.2196714484717	1.618886405965e-24	9.87115986037161e-22	TRUE	
g12	230.048044789619	2.14133100031617	0.211000695889175	10.1379289418888	3.74964745292805e-24	2.15185650298624e-21	TRUE	
g1	2701.21340089781	1.44794054443924	0.146485103593915	9.88427745456658	4.87082865783453e-23	2.63998913254631e-20	TRUE	
g486	8502.1092458961	1.76761204960293	0.180102905579131	9.81435148850962	9.76639255585476e-23	5.014785567101e-20	TRUE	
g446	2252.23791549893	2.34472034502311	0.239186541631063	9.8021388398705	1.10226507991878e-22	5.21516338037111e-20	TRUE	
g627	584.876425068363	-1.62990372789456	0.166269373418883	-9.80029481979767	1.12257514337632e-22	5.21516338037111e-20	TRUE	
g943	775.533703577676	-2.12501255970004	0.221220628093736	-9.60257070297497	7.79749337570097e-22	3.4578338806063e-19	TRUE	
