gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold_CE	genelabels
g674	5201.93085648443	2.4739588964963	0.105360641524443	23.4796473988638	6.58457153153388e-122	6.45485547236266e-118	TRUE	g674
g314	2985.87515903632	2.97775772638064	0.130649229943715	22.7886374983407	5.94360805199985e-115	2.91325948668772e-111	TRUE	g314
g203	11674.904992213	1.80650170688917	0.105973081092426	17.0466534463167	3.70127275692071e-65	1.20945256120313e-61	TRUE	g203
g188	172.783855256158	2.73011717874236	0.164513030609153	16.5579716151847	1.40242785540422e-61	3.4370000666319e-58	TRUE	g188
g552	1593.29282925362	1.68280475992381	0.106087792761855	15.8615164550742	1.17033483013836e-56	2.29455846796927e-53	TRUE	g552
g871	1386.40596939974	1.9549597686601	0.12703749987216	15.3873583876103	1.9899179606317e-53	3.25119429467877e-50	TRUE	g871
g803	30443.9002869388	2.27489892907172	0.159849502235372	14.2314849622026	5.84277669897256e-46	8.18239142571828e-43	TRUE	g803
g933	635.329266509375	1.98988580086808	0.146037298102829	13.6229718024484	2.92421798185447e-42	3.58326360951493e-39	TRUE	g933
g396	19890.5302248316	1.75427961428685	0.133182182926074	13.1719774584424	1.27221269325116e-39	1.38572233688235e-36	TRUE	g396
g817	2288.6781990413	1.28423236796018	0.0993346494565248	12.9280672229414	3.12578105967707e-38	3.06420317280143e-35	TRUE	g817
g634	613.267032558836	1.69162664590748	0.131078561247955	12.9036273295846	4.2939898157529e-38	3.82672565125688e-35	TRUE	
g869	1236.69493034279	1.73228657666088	0.136282598583429	12.7099608397148	5.20605050961393e-37	4.25290942881211e-34	TRUE	
g207	1651.72400541866	1.79855768421733	0.143881170467294	12.4995144116659	7.51086590677371e-36	5.66377065262328e-33	TRUE	
g451	6637.38687146438	1.99277972198502	0.161179725988045	12.3635362150312	4.11641712030459e-35	2.88237407359613e-32	TRUE	
g375	836.191489117053	1.14266044019065	0.0927473671112845	12.3196244193025	7.10242938177721e-35	4.64167434863747e-32	TRUE	
g327	1127.69668607449	1.62925438563156	0.133885141796766	12.1682526520626	4.58798929622385e-34	2.81100369193015e-31	TRUE	
g439	10352.1629794299	1.64736036026691	0.139383173298901	11.8188432396394	3.119502632302e-32	1.79885201790921e-29	TRUE	
g704	3266.93417744058	1.69256786381661	0.145786849318433	11.609574636786	3.68443873887375e-31	2.00658627539885e-28	TRUE	
g44	1065.65663133847	1.5349484490554	0.132388463118776	11.5936553479475	4.43780620096402e-31	2.28967443095002e-28	TRUE	
g121	1613.3493804083	1.63235233570989	0.141888907769545	11.5038543316715	1.26153392403446e-30	6.18340852865489e-28	TRUE	
g69	4792.45500891118	2.16628660364969	0.190829184472373	11.3517037822057	7.27314656744655e-30	3.3951740857466e-27	TRUE	
g32	117.431664257057	1.7467399631293	0.160165985275103	10.8941299229905	1.22935951537991e-27	5.47791424057691e-25	TRUE	
g138	4124.98381466788	1.91329279599288	0.175925133881013	10.8753364220391	1.51097352765882e-27	6.28448019614079e-25	TRUE	
g321	1826.88969543158	1.45833201339957	0.134111257476097	10.8736848683406	1.5385853790409e-27	6.28448019614079e-25	TRUE	
g433	3576.365490809	1.94504418623578	0.179997894532951	10.8056164292124	3.23774953987463e-27	1.26958634957564e-24	TRUE	
g844	3471.25617163451	2.41758402297773	0.22496925361823	10.7460413166797	6.18598936644968e-27	2.33235591381947e-24	TRUE	
g512	2965.63944784063	2.20555389292382	0.206987515321918	10.6550477558658	1.6515987574036e-26	5.99652689586204e-24	TRUE	
g547	6817.44544830817	2.06849735951947	0.194521257245769	10.6336804643027	2.07748579636658e-26	7.27342616492198e-24	TRUE	
g130	17974.0115718632	1.61771210525509	0.15459887711213	10.463903904987	1.26532450391294e-25	4.27723314202019e-23	TRUE	
g332	5757.14059432974	1.80539115667067	0.173309413496741	10.417043989439	2.07296061082627e-25	6.77374428930999e-23	TRUE	
g186	1977.23893422748	1.91883237619684	0.184794843466433	10.3828940272618	2.96643814234304e-25	9.38064293851252e-23	TRUE	
g241	5045.98824382487	1.24369600597586	0.120569535245579	10.3151149071958	6.02092423436041e-25	1.84447250841985e-22	TRUE	
g66	1383.54791912517	1.81542600721837	0.176040971378523	10.3117046002561	6.2384851658521e-25	1.85320818426813e-22	TRUE	
g26	1207.26186009675	1.84171692191213	0.179171344777655	10.2781098214	8.84450981573908e-25	2.55008028599089e-22	TRUE	
g998	4232.20452793434	2.1345292367045	0.20895545196587	10.2151049934889	1.69695336226744e-24	4.75292394580219e-22	TRUE	
g315	1005.25040939074	1.46346754758319	0.143515505363886	10.1966908933711	2.05143203256433e-24	5.58616339311893e-22	TRUE	
g301	10648.7792918317	1.95149046925917	0.191854912444112	10.1717232399581	2.65175136903465e-24	7.02570774882342e-22	TRUE	
g136	179.860009943006	1.58665346306221	0.157286437637266	10.0829653547386	6.57124352580626e-24	1.69520790219681e-21	TRUE	
g986	21710.518190116	2.4206871884793	0.240796770673968	10.0535746695892	8.85941415938872e-24	2.22689325652532e-21	TRUE	
g928	3519.57085001321	2.6751178446964	0.266565013939989	10.0366701123345	1.05164430395449e-23	2.57731727791647e-21	TRUE	
g43	923.388985193961	1.57333098665001	0.158072243040474	9.9525181961413	2.45881190965763e-23	5.8789593049692e-21	TRUE	
g456	498.606298343973	1.44778642488037	0.145894932426658	9.92216323095951	3.33449616263075e-23	7.78287282911173e-21	TRUE	
g868	2016.30938211615	1.29633781926039	0.130690396479583	9.91895340097855	3.44347861986013e-23	7.85033044429973e-21	TRUE	
g700	3957.48506610068	2.15637328145219	0.218794497445338	9.85553662476159	6.48692384987582e-23	1.44525714773483e-20	TRUE	
g159	11095.948763161	1.53207296704076	0.155645489747711	9.84330729398715	7.32620417333601e-23	1.59597287802695e-20	TRUE	
g849	17996.5288064739	1.24630932259631	0.12803063139832	9.73444634830676	2.14985190238626e-22	4.58152134762881e-20	TRUE	
g472	1008.74138131584	1.85815303982507	0.191139354243986	9.72024146591518	2.47194597985987e-22	5.15584817884389e-20	TRUE	
g388	3867.03783271167	1.08924347020624	0.112242958912614	9.70425748464366	2.89174081426151e-22	5.90577816712617e-20	TRUE	
g294	182.487436679774	1.53949483963918	0.159618019839149	9.64083792623498	5.37474348211188e-22	1.07527776234985e-19	TRUE	
g527	5180.66924255974	1.83521012322927	0.191766053206474	9.5699898234762	1.06916196722599e-21	2.09619895294328e-19	TRUE	
g950	49.3983906535267	2.39647411655804	0.249409677550092	9.55256369672243	1.26525777369362e-21	2.43202391284677e-19	TRUE	
g317	1658.81267739144	1.2467296556217	0.132500584343599	9.40904160119998	5.00681247953506e-21	9.43880437247734e-19	TRUE	
g150	2741.86469423585	1.93169036003748	0.208054947467546	9.28424296066064	1.62860778251467e-20	3.01230982867761e-18	TRUE	
g316	9065.33597235087	1.39888169289872	0.150951902940182	9.26701260814007	1.9143240686396e-20	3.47520719349518e-18	TRUE	
g400	7483.37153509937	1.53837688903256	0.166241136094417	9.25385207646396	2.16544655698146e-20	3.85961319965259e-18	TRUE	
g616	1104.47877210903	1.13001659730079	0.122672003733776	9.21145053909751	3.21747166628351e-20	5.63229906153165e-18	TRUE	
g760	119.241702605247	2.09824696783179	0.229905027081553	9.11341909395428	7.98257491104474e-20	1.37286283952582e-17	TRUE	
g506	6844.60279020489	1.49772426196842	0.164561927696865	9.10122243288284	8.93207426174832e-20	1.50967455151584e-17	TRUE	
g212	1019.02457054409	1.13266791876418	0.124599637463806	9.09014628391022	9.89058938359544e-20	1.64334657165061e-17	TRUE	
g56	2566.34685791558	1.46645783431783	0.162204641941731	9.0406049719885	1.55807111691757e-19	2.54562852652382e-17	TRUE	
g867	1306.56026807722	1.35423338846799	0.149924911972582	9.03238550262633	1.67969520231263e-19	2.69935279807717e-17	TRUE	
g475	2567.51454057553	1.40212087067018	0.155760391480006	9.00160902429223	2.22433438843162e-19	3.51695967899923e-17	TRUE	
g546	371.51262730002	1.53920310004263	0.171198331400339	8.98891411485993	2.49685049270374e-19	3.88517863174203e-17	TRUE	
g131	587.476576971611	1.62799881117623	0.181150161042126	8.98555586250888	2.57429698167816e-19	3.94309895490484e-17	TRUE	
g777	3487.68402986723	1.8049881228653	0.201149497554133	8.97322374193061	2.87960361484323e-19	4.34288526712433e-17	TRUE	
g485	261.821682036929	2.01451459926584	0.225122533835127	8.94445754171693	3.73781025366059e-19	5.55178089645981e-17	TRUE	
g395	459.206118974669	1.87334263309308	0.209607081764747	8.93478751819652	4.07961447614084e-19	5.96902398650876e-17	TRUE	
g689	3959.04639126699	2.17221327703704	0.24383950820917	8.90865574752112	5.16550321812294e-19	7.44668059518517e-17	TRUE	
g64	172.281173287524	1.64243778239786	0.184357821983996	8.90528926769015	5.32470148977047e-19	7.56493459481448e-17	TRUE	
g856	2113.71983504502	1.63337911253401	0.184782301638794	8.83918455272348	9.64197362423244e-19	1.35028953483358e-16	TRUE	
g836	359.209497406456	1.5690702606087	0.177658699245724	8.83016414701486	1.04522217318964e-18	1.44314267095465e-16	TRUE	
g96	1937.42445707416	1.7117599749634	0.193984226628358	8.82394993936086	1.10491633862318e-18	1.50437428715598e-16	TRUE	
g143	1277.16133873834	1.12335938014671	0.127438823109015	8.81470285247801	1.20002912331628e-18	1.61149116381774e-16	TRUE	
g702	2041.89869156705	1.77512768219884	0.201540707733141	8.80755253420349	1.2790786699211e-18	1.69443354070764e-16	TRUE	
g561	1489.28806022632	1.28446958173321	0.145888815003469	8.80419858469298	1.3179086496997e-18	1.72259446573415e-16	TRUE	
g75	372.523083966331	1.84580374974045	0.210214191562275	8.77829785262534	1.65967260186403e-18	2.14075927843068e-16	TRUE	
g887	2475.79767786394	1.44647586238888	0.168214499662576	8.59887286954553	8.05028022296988e-18	1.02489476656849e-15	TRUE	
g344	1017.43242918255	1.59784243921336	0.186490703921419	8.56737874839367	1.05867239528474e-17	1.33053403730465e-15	TRUE	
g367	2003.6155284884	1.903194584079	0.224118167151131	8.49165891576472	2.03708131903223e-17	2.52778584436367e-15	TRUE	
g34	140.815368872035	1.77213334768269	0.210563941205241	8.40997784300589	4.10088182626903e-17	5.02511806786442e-15	TRUE	
g427	1643.03222185962	1.59450444817723	0.190559998849817	8.36717983263424	5.90135981547727e-17	7.14210250260787e-15	TRUE	
g3	1138.04468421811	1.42219174501074	0.170130236790568	8.35895667111674	6.3275343284988e-17	7.56449012466753e-15	TRUE	
g600	808.646367739801	1.97091445981707	0.236626594083552	8.32821028424394	8.20736354017545e-17	9.69358852823373e-15	TRUE	
g413	425.244366576522	1.43331123227714	0.173101548658513	8.27891692533732	1.24300610824526e-16	1.45061772370575e-14	TRUE	
g222	126.278882337769	1.3039045391569	0.15788871952992	8.25488768232654	1.52045157606436e-16	1.75352785884223e-14	TRUE	
g798	1002.06166224791	1.75389018703399	0.21276498772556	8.24253916734002	1.68593901211819e-16	1.92177443439473e-14	TRUE	
g536	844.438433423038	1.25088098813815	0.151884825140045	8.235312837435	1.79089027719419e-16	2.01794222842927e-14	TRUE	
g296	709.268056789387	1.01243536309974	0.123320743089499	8.20947406573426	2.22159442227886e-16	2.47480569563633e-14	TRUE	
g769	723.379538832786	0.942448277221467	0.11520608718376	8.18025461286089	2.832447377129e-16	3.11982939752759e-14	TRUE	
