gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold_CE	genelabels
g795	436.963055574748	2.51176749554494	0.391665103707545	6.40896907130262	1.4650690844369e-10	6.57010230915729e-08	TRUE	
g439	2309.58880074053	2.2079842558983	0.350384160776829	6.30182879735413	2.94153984187537e-10	1.25631765913239e-07	TRUE	
g412	521.200515441733	2.0137208238663	0.320689996165289	6.27662028361347	3.46011724406937e-10	1.41062688918446e-07	TRUE	
g188	1756.24720186461	2.24484170037485	0.364776036072996	6.15427378088323	7.54222954978038e-10	2.94114160139045e-07	TRUE	
g908	4277.71185361674	1.65494863569622	0.273033249214286	6.06124160905342	1.35074748915874e-09	5.04785592927698e-07	TRUE	
g77	1931.35680016564	1.79819496835291	0.297473856683169	6.04454909034712	1.49828430986534e-09	5.37524479007289e-07	TRUE	
g336	519.850943038479	-3.23822468263536	0.60231529659358	-6.03590823105922	1.58071070951158e-09	5.45284398215745e-07	TRUE	
g404	111.795960128581	3.04134343884258	0.502106989604365	6.02818734488411	1.65808783985472e-09	5.50792216135443e-07	TRUE	
g741	7580.77249412221	1.64773129675907	0.273631798430927	6.02170679016188	1.72587337210896e-09	5.52834224087332e-07	TRUE	
g84	5580.25506535988	1.52017739283331	0.25413362676102	5.98173327472337	2.20775585604354e-09	6.82805595615672e-07	TRUE	
g385	852.842808957877	2.18284001019386	0.366417658365219	5.95648980462046	2.57713181824743e-09	7.7047650926204e-07	TRUE	
g541	758.897645445357	1.83078407309559	0.308441351308416	5.93441368223173	2.94897426605431e-09	8.30033473401836e-07	TRUE	
g854	1458.4013380509	1.72178172465032	0.290142530459679	5.93372202474331	2.96143061086618e-09	8.30033473401836e-07	TRUE	
g782	884.631740261221	1.54644599169015	0.26417199627786	5.85316885381879	4.82294018712976e-09	1.31081668298081e-06	TRUE	
g368	31678.18240889	1.94030587478211	0.332000282544741	5.84478176174223	5.07232811117193e-09	1.33805031850297e-06	TRUE	
g357	1304.0457146465	2.31133047774282	0.398924959699719	5.79514590717859	6.82618080890723e-09	1.65470312635375e-06	TRUE	
g463	317.29386756029	1.95324617388761	0.336522841208839	5.80055228640875	6.60968596628329e-09	1.65470312635375e-06	TRUE	
g652	81.2909930464036	2.57190016524266	0.440950217253732	5.79562243723373	6.80682463453045e-09	1.65470312635375e-06	TRUE	
g671	53.8378796747676	2.67728499104925	0.459934631354037	5.75135053657891	8.85333312059671e-09	2.08961959891137e-06	TRUE	
g969	242.476200486013	3.16096159129009	0.59980001239302	5.7438220232466	9.25630778944733e-09	2.12871345034752e-06	TRUE	
g777	93203.3232769364	2.00508797979565	0.351079106757147	5.71202368609293	1.11640544695127e-08	2.50326011342648e-06	TRUE	
g641	358.337599363282	2.44026553795058	0.431404575350267	5.65502394285646	1.55824549155544e-08	3.40875702774652e-06	TRUE	
g130	5377.55762085158	1.65052493786905	0.293326908788667	5.62693540224489	1.83439383113308e-08	3.82620424917038e-06	TRUE	
g946	3764.22380982395	1.759106591331	0.312524849359651	5.62871686929805	1.81555128976813e-08	3.82620424917038e-06	TRUE	
g40	1174.75315253745	1.58198496678597	0.285510934502942	5.54040906940414	3.0176590015294e-08	6.09372345780387e-06	TRUE	
g379	684.059525174585	1.67851841088356	0.303029244532528	5.53811798509784	3.05739274836854e-08	6.09372345780387e-06	TRUE	
g56	6333.72936432577	1.51297318278095	0.273518124683188	5.5315195206231	3.17468524717331e-08	6.18994608302117e-06	TRUE	
g288	1379.66746128754	2.36289467309159	0.428116718580471	5.52262882641168	3.33964761653808e-08	6.26646248437232e-06	TRUE	
g698	1553.52473321933	2.17376179181918	0.39373395333226	5.52189311718742	3.35366483721565e-08	6.26646248437232e-06	TRUE	
g58	170.838303185377	1.7771084645535	0.321795474106522	5.5165971559166	3.45626452486739e-08	6.32637480072156e-06	TRUE	
g132	1789.93608283597	1.67411417956805	0.305780895340854	5.47461500871715	4.38463802946213e-08	7.86516369724917e-06	TRUE	
g850	1564.8682601742	1.44556581470058	0.265412956954537	5.44615873558266	5.14692085116707e-08	9.05151629688577e-06	TRUE	
g876	194.621261410113	2.0990296513336	0.38589783294831	5.43210788348793	5.56922339091112e-08	9.60583934482343e-06	TRUE	
g340	4069.07768428148	1.72174506821357	0.318867159254857	5.39965722147367	6.676834763901e-08	1.12989681127223e-05	TRUE	
g963	1554.91482047371	1.36255201120685	0.252653144709669	5.39269995845342	6.94067943585118e-08	1.15279544185462e-05	TRUE	
g722	276.798312703439	1.73411211055782	0.321697611157462	5.3875582500859	7.14213318141355e-08	1.16468713643815e-05	TRUE	
g835	1114.89564506013	1.92652634412304	0.35796025570316	5.38178817292138	7.37495207785388e-08	1.18117759261199e-05	TRUE	
g8713	70.5837848125846	-2.15890946156721	0.399096892464753	-5.37535234430594	7.64330666107617e-08	1.2026810077753e-05	TRUE	
g14	1107.29706112838	1.59006753794603	0.297354659372538	5.34686869471544	8.94888866358618e-08	1.3838376279949e-05	TRUE	
g899	915.107369720507	1.67953767070621	0.314655215525787	5.33707637505374	9.44572590826658e-08	1.43591043510581e-05	TRUE	
g700	2389.57331679727	1.9808628639355	0.372227873138596	5.32222341234851	1.02506569782105e-07	1.53230237395949e-05	TRUE	
g788	1079.07591561777	2.36657558871267	0.447748823192667	5.29028393717731	1.22126616801521e-07	1.79566168211941e-05	TRUE	
g437	334.056434364811	1.47571230532586	0.27906637738077	5.28625492719757	1.24845881014054e-07	1.80603662389525e-05	TRUE	
g302	86.8407276902345	2.42206498232444	0.457357813758395	5.2721871399754	1.34807513795271e-07	1.91918824004728e-05	TRUE	
g612	7031.7696587014	1.31607421166604	0.250665366916186	5.25029414325272	1.51856525387797e-07	2.12812683781742e-05	TRUE	
g359	454.008965582466	1.31739534589828	0.252032768316848	5.22615049450047	1.73075505737219e-07	2.38817570916479e-05	TRUE	
g822	4759.65285168852	2.05223358128541	0.3936893412586	5.21433683605799	1.84475994704502e-07	2.50691696440103e-05	TRUE	
g548	1356.48704768657	1.79452130742007	0.344571988791529	5.20779134319785	1.91101642332819e-07	2.52057445600449e-05	TRUE	
g725	852.053296334002	2.42447168655672	0.466038901120373	5.20970401940582	1.89142120653861e-07	2.52057445600449e-05	TRUE	
g383	74.2146684425593	2.50304479532032	0.479075815182645	5.19955779406494	1.99763208202109e-07	2.59663219473148e-05	TRUE	
g598	1729.15763189294	1.50321581493895	0.290814278475821	5.16877084188043	2.35638614070994e-07	2.97667990084894e-05	TRUE	
g738	341.529186321063	1.99684238780626	0.386103364927887	5.1697599805718	2.3439484407718e-07	2.97667990084894e-05	TRUE	
g361	2356.84786543594	2.15709640251421	0.419383364685332	5.14604980195545	2.66028824099528e-07	3.3139062824287e-05	TRUE	
g467	453.152480439564	2.13578376261942	0.418313392505192	5.10549139334898	3.29936005922919e-07	4.05369320153789e-05	TRUE	
g296	668.179311242916	1.61713808954463	0.317244247298837	5.09664578560588	3.45724341852642e-07	4.13440216276847e-05	TRUE	
g7488	322.367501373262	1.95165129665171	0.382688460245764	5.09716187728782	3.4478348634404e-07	4.13440216276847e-05	TRUE	
g779	1328.22076621097	1.69983912152871	0.33476488320766	5.0774978888086	3.82437755111127e-07	4.51326871788381e-05	TRUE	
