logFC	logCPM	PValue
g1	1.58736163930112	2.54825003359203	0.00120912882003409
g2	1.1924832306766	5.88951042244472	3.98488953931756e-05
g3	0.591659153927168	8.67200539860037	0.00103400619101331
g4	2.9104241648418	5.40451756021456	2.44970605719248e-24
g5	1.97040399820592	5.02540063919822	0.000565393806276319
g6	0.608551667874864	1.37786523607915	0.447048376204128
g7	1.6210311199861	5.7085369036419	0.000627259554792231
g9	0.513963832584834	6.10593706607991	0.0305513555066004
g11	0.3986796575448	7.11165000956029	0.0882107956782234
g12	0.449002601134822	4.94719040738331	0.0675271883536994
g14	1.31858481476248	2.85876681527475	0.0011928288694411
g15	0.84636634217252	1.88328038481916	0.0448154965439047
g16	0.0710694629897039	3.49665750134061	0.922666609347206
g17	0.72122584997967	0.952421422027082	0.0458565001768293
g18	1.94889161367233	3.29974603090538	0.00506617194125976
g19	0.868714063223215	4.47029369166473	0.0206370928117009
g20	2.25630895680618	4.20814982379023	1.88755659928838e-07
g21	1.28382049105585	7.50589657641234	1.220748826713e-09
g23	1.56656540626954	2.01305618670931	9.9801548478743e-06
g24	1.54949122769448	8.82837814961352	1.15822925750554e-11
g25	1.63956368543864	2.31458614358433	0.00935107166011251
g26	1.4730638267719	6.03543267569829	0.000243518536015967
g27	0.857571138504927	6.81094900056714	0.00156705394201282
g28	0.624752397085248	1.3216575090208	0.147348296189451
g29	2.01468261394153	5.27512573225974	0.000197830580003532
g30	1.88755116987258	3.15057939662248	1.47874763421117e-07
g31	1.32183719393987	4.90158657190395	0.00332889128525926
g32	1.04773726213914	8.73603522699631	0.000528055636910228
g33	1.51354816606566	7.47108749674693	2.80981292124802e-09
g34	0.908693317024388	9.05840258890014	0.0101001398165833
g35	0.693819346674976	2.64695974237046	0.104983301595975
g36	0.612330777608464	5.91712084787168	0.0658613196720231
g38	1.01763466884079	6.0521370000844	0.000775654910294328
g39	0.89666552937727	2.94032257965385	0.0137230844683676
g40	1.63136708415126	1.05787713731243	0.0141226991684114
g41	1.42587642347975	10.0774228282676	1.59816864534069e-11
g42	-0.600620037651929	3.46617126042558	0.318711710476191
g43	0.5295459889468	3.16816730772255	0.131109082516422
g44	0.385529004967906	6.28881391852565	0.374527379369305
g45	1.39076517930511	2.89917985403378	0.000601142913484474
g47	1.06495335929258	4.56836882406526	0.0970241069775242
g48	0.787999221290233	2.58246447328499	0.0397146270657038
g49	1.19831524609432	7.23019949105193	0.000712244063240254
g50	0.857654087756047	1.23790815515786	0.0247763083215415
g51	1.88653127120798	12.1699603325282	2.08515190426597e-15
g52	0.581276598803532	7.67496353873462	0.0555784281932939
g53	0.734638885941606	3.53804609357379	0.161922823440759
g54	1.09125084496676	1.99737351958919	0.0736813915226195
g56	1.47877294568996	0.384256204430808	0.000804531137478195
g57	1.36825019105394	9.12915063667401	5.37655876391796e-06
g58	1.22084831872515	9.76301607095116	0.000146547035241439
g59	0.946699628232659	5.87756183800159	0.00446285228242604
g60	1.77460085290642	7.49795744293494	2.0649275934563e-05
g62	0.471055283070544	5.92595401235049	0.102847090413122
g64	1.53935400918017	8.54718033303729	2.3762791151216e-11
g65	0.896410889651536	5.1536492143636	0.02824427294572
g66	0.915424242877517	1.04492804892524	0.00639971055148908
g67	1.25394101458383	6.24627920166237	0.132379600996055
g68	0.292774660577967	6.96559148337253	0.696331339026257
g69	1.25052545268545	6.58370093001597	2.10322856254152e-07
g71	1.70038253000334	9.40448268031382	2.36773787747467e-06
g72	1.44164422944571	8.2102965799236	1.86332671130847e-13
g73	1.51531800361698	5.09717732582714	1.67682819009342e-07
g74	1.21701178705172	1.1212036639294	0.0658635678954063
g75	1.25044862528932	2.31679809053442	0.254888091578026
g76	1.44100982235254	2.90422029061998	0.0548574808258683
g77	1.89081311961843	7.97499205813327	4.61291503291587e-14
g78	0.981295765153202	9.88803161250318	7.56263203358043e-05
g79	1.5918198340551	6.71300595100884	1.0587098321409e-07
g80	1.46011268342706	1.2606016644578	0.0134726742988004
g81	1.24437339093128	2.71544610840722	0.00916893715928606
g83	1.57011334931185	3.68550174414385	3.20767970099529e-06
g84	0.457666004512372	6.85563511305989	0.0268201701496611
g85	2.45150001332817	4.34609834587636	5.6798915156018e-07
g86	1.99467179551389	8.17993202851165	1.92327368291109e-05
g89	1.68417794448625	3.97835007584025	2.00599660046883e-07
g90	1.76083299810202	8.04312672445005	8.95526139609994e-18
g92	1.10771825722865	8.27226160472862	7.91385621991199e-06
g93	1.49586089407154	3.50428015002073	0.00533785044484719
g94	-0.000857426938189931	2.84800159005288	1
g95	0.624080757348382	7.96411544142263	0.0283871726904261
g96	0.721078014959396	7.37432760417632	0.00185170203762896
g97	1.62873779583908	2.08454584320478	0.000136962896487925
g98	2.36580395510873	7.52234993641852	8.96979769998546e-32
g99	0.771271901292078	2.44611750352905	0.111636883110272
g100	0.70932480367949	10.5598250568497	0.147050024977948
g101	1.2326309034341	5.5032463674065	0.00246400631155251
g102	1.58881007362753	4.18900029642059	0.000121094818197802
g103	1.22219636845847	4.48648522935382	0.000792070130775957
g104	1.23200052445886	7.31884873208421	0.033448714783497
g105	1.57942759815386	1.25021525914776	0.000531705279894992
g106	0.752992168212084	6.47684744452185	0.000962455156334688
g108	0.602396266276972	4.01887361333545	0.0342948417744428
g109	1.49084167451856	5.95297922783953	0.000379451597590402
g110	1.51681236203486	7.23604908118682	6.63095620390289e-10
g111	0.667804398633236	3.40485526664693	0.233855868140768
g112	1.56763051689303	1.62801219273235	0.129673212147725
g113	1.07667841504376	1.60929181131664	0.0623733580954763
g114	0.55080131478689	0.723366937463315	0.405415475180125
g115	0.551575781508741	6.11249679430501	0.0142027973938542
g116	1.70642663180837	1.35003937796402	0.0222976678392443
g117	1.27312173015326	0.684962756175179	0.00370910736451135
g118	2.09490465910493	6.83469815479999	3.82967156176857e-09
g119	0.297200169013937	2.72579652079153	0.666045417407574
g120	1.14996708483755	3.73020769316925	0.132085706438359
g121	0.87484516507425	3.26968417201351	0.0305211267298666
g122	1.73816082350464	7.58592598314395	1.11282443945915e-12
g123	0.39779434296512	4.47019265977579	0.280850321347935
g124	0.940511872052721	7.85378012339132	4.9475334195798e-05
g125	2.03031877074129	2.39203950686878	3.7414794613839e-09
g126	1.08726857969176	6.53293528356621	4.02899830831961e-05
g127	0.647642247506656	7.63041413092428	0.057708931444128
g128	1.5089887771389	1.35359422820272	0.00109393160564377
g129	1.79382079099338	0.526526224869983	0.000199855295120685
g130	0.855854622567584	6.94380342564804	0.000403276735588965
g131	1.04287513736401	8.84623218518343	5.38412961881738e-06
g134	1.96785231924721	4.37197313415954	7.49120698248103e-07
