logFC	logCPM	PValue
g1	0.532520640538728	1.5137893451433	0.197654361050349
g3	1.34843566836166	3.37702836876724	7.59051963828979e-05
g4	0.539941992734487	5.44452445916453	0.121123063451206
g5	1.77011588450282	3.49208450478074	0.00132765895011103
g6	1.64379572265211	4.74573586908529	2.55264343214676e-12
g8	2.721508754394	8.57946233508794	9.33257200923746e-93
g9	1.91367181824839	3.63629612634975	2.84127560777779e-07
g10	0.643769057559484	6.5753332274538	0.0323964632237467
g11	1.04392141267861	2.76788409162708	0.000128446392052508
g12	1.05128965553775	3.94687356442032	0.00275057109827279
g13	1.6925729198762	4.57987668901827	7.02282626833695e-16
g14	0.226777523482535	6.16706798378525	0.7113178092386
g16	2.18833480715818	7.1802795349708	1.53741714141928e-16
g18	1.41500177020736	2.64216849870884	0.00053586559208268
g19	1.7090601245239	4.49493339036243	7.31094684039833e-06
g20	2.57977406112418	3.17682200908133	6.7821290524906e-07
g22	1.13527974923898	7.89104121311697	4.76030499836623e-10
g23	0.574160628952367	3.20636430154523	0.395822049468902
g25	1.88345838277745	5.69291436881258	0.0245251086327003
g26	1.01399883766362	7.26568086673436	1.08138374922759e-13
g27	1.82761508279557	8.10744120903737	4.76286714562104e-46
g28	2.51108325795847	6.27126503385626	8.12852306582036e-42
g29	0.864728595662756	10.0153669838065	2.12839886297669e-09
g30	1.10895237271801	4.08460668518396	0.0165819697110778
g31	0.861927959388632	5.54154826051945	0.0227344318472385
g32	1.46601696365013	4.98130394875278	4.40459385273945e-07
g33	0.633162097880909	9.23856762287316	1.39538620346902e-05
g34	1.0822333933442	6.5661915231786	3.78799284604179e-10
g35	2.06021740459403	6.24897402326114	9.99836429068498e-12
g37	1.21587955896206	6.56836135224539	1.61752951047894e-11
g38	1.69819286347508	8.57166797528261	1.65715034269831e-24
g39	1.30786300339933	8.38663176053746	1.28771234760952e-11
g40	1.46233580503257	0.810233651212115	2.28346471449806e-05
g42	1.97404172536476	5.24881143079279	6.64301616713295e-06
g43	0.905476035904017	6.62603277426165	6.18162199852501e-06
g44	0.429549088704952	4.37758515347658	0.187486349099149
g45	1.92844754613439	2.56926807768547	8.57166274561502e-09
g46	0.727206507677573	3.19989789961809	0.0940568476188454
g47	0.959512250223379	2.23683079315464	0.0194147146000939
g48	0.5650765345729	5.76024865935922	0.016912776554492
g49	0.82675768395955	3.76369191689718	0.0691522064049048
g50	0.590217630209059	4.22990607285331	0.0744973273957761
g51	2.3445415068991	3.04006166280397	4.84662069192568e-08
g52	1.94495363131131	7.30197841299229	1.76811973441259e-15
g54	0.742006939534959	8.26358075413867	5.95589802828413e-05
g55	1.84066781461664	1.02405958528009	0.00488543243180017
g57	0.639942830304253	3.4077226800813	0.00046394587989493
g58	1.57209287066833	2.89589440819737	3.97354012572936e-07
g59	1.39444695556918	2.85536596285149	0.000332537114032865
g60	0.450791247608583	7.30245723897844	0.0925257252217771
g61	0.350585371471705	3.85529716112978	0.522568448025923
g62	-0.0377631522966614	2.84101736345187	0.961886366360873
g64	1.76480245206037	6.96001064213247	0.000367067142083476
g65	0.683174757596123	1.89587568683802	0.074773994113107
g66	2.58522719745018	5.61979416972811	3.11019268605612e-06
g67	2.64759655093279	2.62195737942856	4.95994194904706e-06
g69	1.21531136926447	11.2758552086297	1.54515648218224e-06
g70	1.35177559650522	6.14184363952525	3.49201403565035e-13
g71	2.80193698039774	3.01758409643631	3.40968214111935e-08
g73	0.551331089895111	4.28232758719194	0.063055440640023
g74	1.27388965979811	5.6139202639298	0.00078521354766232
g75	1.89005441887015	3.93141487890706	2.63467331326022e-14
g76	0.948279117822037	8.78804850639659	4.62757548145607e-05
g77	1.90328101252148	2.24539470690292	0.0377944125284046
g78	0.957320031713514	8.62122465335966	7.046549866259e-15
g79	1.2484922806983	1.35024936539983	5.26570447865356e-06
g80	2.84389772170364	1.99822963823701	0.00132766870840733
g81	2.31625833719179	10.7990841160967	4.65714669240546e-36
g82	0.935423710616313	4.4976952796164	0.000388120169819798
g83	0.738132926912137	0.688731657830637	0.0867094458351795
g84	0.717939707241579	3.50349200533407	0.00976148091748791
g85	0.423236773607644	6.43749447616321	0.240972730874563
g86	1.21698905990507	9.21914101370326	0.000278213054207542
g87	-0.0390788996248798	8.59790053837631	0.919875368975359
g88	1.15621523258935	5.23498319882648	0.000347670844827205
g89	0.95356143516158	7.3550803998725	8.69476400327841e-08
g90	1.02911597305429	3.47532266148133	0.0834666794082707
g91	0.943685572835185	9.13583190424081	3.43936911843643e-15
g92	1.35729164286436	7.81361972963516	5.27731205761525e-06
g93	0.424511224732913	3.5928105054056	0.14779102605
g94	1.83367686868626	7.81065024205195	1.83063699019107e-11
g96	0.967244842608864	7.96350296143944	1.94612583438177e-06
g97	1.80831912527184	4.87784362268864	0.00939739702762142
g98	0.569521484912494	10.4077158286651	0.000161782272932604
g99	0.840923713523367	1.07719840165455	0.0773097562494299
g101	0.528376704682569	7.87485534269421	0.00149829358492653
g102	0.264881330074338	2.10368054927331	0.388525905682041
g103	0.659294015213632	7.97311595347689	9.4381674764368e-05
g104	1.24187426409053	1.17125720546615	0.0047820999233019
g106	1.95246712039936	5.90382567279154	3.70072287219964e-15
g108	0.775214066057697	6.74618025080629	0.0116193052455505
g109	-0.461264215777386	4.21371452025086	0.566158595171427
g110	0.523886494540544	0.843832663103228	0.237832745610651
g112	1.42892343057146	7.13550374159949	1.96049020533561e-08
g113	1.18353731860675	6.10583542829883	0.000674468077986106
g115	1.3501385712777	1.19758132648909	0.0135256842040453
g116	1.58914545545773	8.31162227630811	2.13055089361193e-05
g117	1.16725735501485	5.17866082928175	6.62055696864586e-10
g118	1.16768868963909	2.92759677689004	9.57245693785913e-05
g119	0.878446847144352	9.74922606616987	4.77141641422867e-10
g120	1.0957982827855	0.148524870739119	0.0508243606568205
g121	1.26772922398077	3.63290820945221	0.00120397763369534
g122	0.975994161814945	9.64408150209366	0.000816529590043848
g123	0.31532735202295	3.78363298730344	0.234284817452124
g125	1.95494965777332	3.26145663925019	0.000147681795956038
g126	0.605038749350945	4.39330938287739	0.00198229787808034
g128	1.12802350760922	5.51894908561767	0.00149647338438801
g129	2.5838095500963	1.78341994129356	1.07913811531356e-07
g130	1.09892673699432	9.42146656255286	2.76836129104252e-10
g131	0.697041258794423	6.99199760853902	5.94464490349524e-05
g133	1.36341075556078	1.45688059380746	0.0387306878590547
g135	1.21968669274925	4.02158934159471	2.15754328382604e-06
g136	0.70943718316508	5.66911297896897	0.0739476865834522
g137	0.122801153992758	4.07288167035092	0.816849261199101
g138	0.945166901344307	4.53822888654059	0.00958499901614742
g139	1.66178529192802	8.02652659921307	5.30175797807137e-22
g141	1.05389294588361	3.8359034619076	0.000423522337865399
g142	2.24376031428061	8.79088305806647	9.52839045648024e-21
