logFC	logCPM	PValue
g328	1.08624613762133	4.24552192727222	0.00400851262988254
g330	1.54873692211131	9.04142970539611	9.74472064267577e-10
g331	1.90659299545483	1.34908698113808	4.46194182810077e-09
g332	0.96831726919309	2.23372609502097	0.00119665467690037
g333	0.0141074774274311	1.58071337565236	0.985126733320631
g334	1.27416144896776	1.48471663207678	0.0486909762608296
g335	1.18104030697911	3.86857134194485	3.38897414871863e-06
g336	1.37194757297472	8.74472012074896	2.68523286560209e-11
g337	1.47345198860371	3.35513765832017	2.5675084380404e-07
g338	1.9410801641987	2.17214354912657	0.0138804784865301
g339	1.17616148933314	0.984754028572424	0.0708810553394326
g340	2.01525268217729	2.1759681429337	8.7681304157659e-15
g341	1.71755224163147	8.55958195132876	1.29045074808447e-15
g342	2.13872816988924	9.32087417549564	7.52748642871803e-26
g344	1.5057348350324	2.36459433339689	5.05272511588509e-05
g345	2.38109454752554	5.18182788976435	1.45961803760855e-05
g346	1.15736481900099	7.63352516334295	0.000101892950196451
g347	2.50153232855937	3.05437461079011	3.82028381956767e-05
g348	1.99638198508016	3.20392472829431	0.000379198499082925
g350	1.54826734553667	8.56471800399426	9.92196850247158e-20
g352	2.77460420868642	10.8393045372541	5.89564617114609e-11
g354	1.073647191208	2.72271239843024	0.000982322796896732
g355	1.63472924598646	4.4108696334538	0.0830876600231399
g356	1.77828224395625	8.1446971489012	3.15005573571755e-29
g357	2.21124151178511	4.2829451206711	3.18383861421177e-10
g358	1.60001796317893	3.1739784928215	6.98616807854514e-09
g359	1.20131605348086	7.97296554057618	1.62909521028371e-12
g360	0.747229298181375	1.68226198017968	0.041676334939231
g361	1.4948075327434	2.03102353006038	0.000895755622673462
g364	1.27346679508772	6.64320900104998	0.00989357390237919
g365	0.742445225240206	5.51038899141337	0.0403141667601462
g366	1.47539938499533	7.5099262985459	4.41122918844252e-08
g367	0.51197571531993	2.26514140615315	0.268505650805598
g368	1.75684013844407	1.18020638934974	0.000138562878708089
g369	1.47424269097865	10.0415699460021	9.60534227458458e-12
g370	1.67838246191859	6.56956706766454	2.27901145071572e-11
g371	2.22696458405709	7.44429219568805	3.7330267185328e-21
g372	2.07812158331625	3.43993139417113	1.16219568829896e-05
g373	0.620882154288438	2.59916628412313	0.0145359853607334
g374	1.13136313387934	7.41704976592352	3.90961610154724e-14
g375	0.589178694213045	6.10615334849065	0.0108668578285088
g376	2.19140945976749	8.40082656666296	2.99950760163344e-29
g377	0.325426287999783	8.46442845687418	0.269375501390068
g378	0.83235996810827	9.25630666528556	0.000219956612706345
g379	1.05824311685121	4.95461497187603	0.00123617167680366
g380	0.846075798480242	2.29995115973108	0.00743641043519103
g382	1.41582762218279	4.20603151598072	0.000341629993198959
g384	1.20300625409502	1.84022524863544	0.000183357662241484
g385	2.49201166125285	3.63506304049745	2.37183621642545e-12
g386	0.451446742343899	9.35564729550825	0.0835421285082025
g387	2.99043024919961	6.70916940801038	7.48803899814911e-08
g388	0.906266635664275	3.28003569461011	0.00155749906229069
g389	1.3224397961646	5.16739077160487	4.51245924453913e-08
g390	0.237797409415865	6.56244563984649	0.459652641881407
g391	0.620620205295501	2.41650694248381	0.0377503071255043
g392	1.3463212121439	6.03575196899695	2.19023299326509e-06
g393	0.824890691838535	3.32579127088799	0.0110567858882507
g394	1.11754527869586	7.3234811820349	2.78026148102405e-06
g395	-0.0449015589643862	7.61713018919524	0.866876235465464
g396	0.814612424320373	5.87601072871554	0.00658535438720268
g397	1.33338894163882	7.61069988861914	3.03227604000656e-18
g399	2.29851151057461	7.24095586814267	8.02415300703521e-09
g400	0.938658708823741	3.00282446553518	0.0044181552257824
g401	0.735967052502812	4.19223179356282	0.00101166488230426
g402	0.377369351071173	1.6891298347046	0.531099004388337
g404	1.68292295783672	5.91809883998991	8.48135925295382e-14
g405	1.21689957494251	9.89981059955007	1.46453813101884e-07
g406	2.08360649971644	6.11481634215606	1.99565410442718e-22
g408	1.00202754419422	3.30903052045492	0.00876456026213485
g409	1.34462051848023	2.4218376478335	0.000396668757418347
g410	0.781892222317067	7.47344170983394	1.97052431108469e-08
g411	0.788395494554625	5.6078109318477	0.0148092378829303
g412	0.943094456213672	0.721625326666914	0.0224444098686344
g413	0.794011071783742	2.30296744105983	0.00843892535974245
g414	0.498366495320234	4.62756349282413	0.0599486155732244
g416	1.22534262746505	3.09949195883651	6.68824226794214e-07
g417	1.22332234092166	8.33550542351108	1.71823930146628e-13
g418	0.390393637394504	2.91521392265863	0.196820463291136
g420	0.836841455652737	0.523206254931466	0.0789005680312233
g421	0.411865628325626	8.02189095821041	0.00498069315954621
g422	1.33919272466188	1.55504440827622	0.0853759538883197
g423	1.07685704353495	6.59010487265263	1.20851891140154e-05
g424	0.910613609912586	6.13029392326806	0.000224266871975791
g425	0.752263041492111	7.55248902677516	0.00208569497565381
g427	1.35432522275718	6.99158429262885	3.14852711358783e-07
g428	1.84110938163661	5.83374432804076	9.6717517778476e-15
g429	2.06755657816909	3.95119282086587	3.71304224249306e-12
