gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g1	51.9245696851924	1.32957345077714	0.385125767331072	3.44898026518179	0.000562707825661481	0.0122590834729531
g2	543.551593970218	1.11522754168044	0.250729614466777	4.44751001599497	8.68714096263979e-06	0.000293582389281579
g3	3753.41544305063	0.575697979151288	0.142391237067932	4.04306033490829	5.27580375251815e-05	0.00153834716735011
g4	387.403476961341	2.77393150257858	0.217620708407932	12.7282497898648	4.11970584797049e-37	3.94008667299898e-34
g5	297.508026165098	1.53855830030646	0.428489956936539	3.59503999874499	0.000324341741365443	0.00764040496162338
g6	21.8256553306723	0.384755566615506	0.503316240958643	0.764214913678268	0.44473918053831	0.918447975211594
g7	478.686957429861	1.34747455798608	0.386232048816734	3.48982670390977	0.00048333386492412	0.0107753032264203
g8	7.22973809415539	1.00368333969318	0.493793249731055	2.26741246628479	0.0233650406548222	0.245834157120703
g9	632.58599110473	0.490957446676261	0.195969728919474	2.50523659779678	0.01223695058692	0.160987239603049
g10	27.2845248901712	0.832992048390334	0.503230325214636	1.74976784267123	0.0801583816897789	0.502734335234374
g11	1271.04499802249	0.376519933023868	0.208156908014967	1.80881908193403	0.0704791147784607	0.472032390575069
g12	282.127558847704	0.432391374498327	0.177503870787022	2.43588363797688	0.0148554624627024	0.185918588468265
g13	3.34105615873644	0.0161850106504869	0.518577829053168	0.0311214039953205	0.975172720015988	0.996524478659579
g14	64.7940927005316	1.17287884540669	0.326003879784054	3.59428349145622	0.000325285508869574	0.00764380984478772
g15	31.8885668227071	0.739526431886308	0.344452400527069	2.14465527617183	0.031980419229451	0.303433263403244
g16	101.798992141324	0.0443606241959035	0.480594317403012	0.0923077233422249	0.926453552231463	0.991766462498529
g17	15.8312554663568	0.651152206652141	0.310537371881825	2.09325565780363	0.0363263386832492	0.324696358099622
g18	88.3317316269507	1.38845592846526	0.469707885466287	2.96318356834128	0.00304474932223752	0.051448732363745
g19	202.081347854829	0.77769894157654	0.315901632152083	2.46159930275497	0.0138319101424642	0.17756830684903
g20	168.31352840163	1.96655854045536	0.347247132155152	5.65883047994175	1.52408002977177e-08	8.52415286826735e-07
g21	1670.58818313498	1.24127239500309	0.177418856321755	6.99597290573902	2.63424445370975e-12	2.57080754645715e-10
g22	15.2704864088031	2.16419177477087	0.495159037253621	4.33680358346271	1.44569704082112e-05	0.000465543653145225
g23	35.1510864608871	1.44467814965945	0.281322512946801	5.11745576949035	3.09684653819973e-07	1.37759257169033e-05
g24	4183.4143779032	1.47983985469911	0.208514043623458	7.09695453619759	1.27535989447104e-12	1.28395179270747e-10
g25	43.8775073221296	1.22053418978443	0.453077219090673	2.69561946737178	0.00702578784995943	0.101964544760261
g26	600.83002256467	1.28698429222238	0.342652439702483	3.75607845968617	0.00017259660344331	0.00446138896035627
g27	1031.23268236461	0.802292458982111	0.244450145081891	3.28197145088535	0.00103084041403362	0.020369747354995
g28	21.0497987732358	0.539562164040893	0.356944187908048	1.51057660017393	0.130896359514414	0.627200792783494
g29	354.4884507125	1.61035266644989	0.415916393450399	3.87555195572535	0.000106383276645679	0.0028499990415666
g30	79.7214229710248	1.73887786703952	0.280310536197487	6.1906829631204	5.99040887585882e-10	4.27554257378461e-08
g31	272.711401315568	1.1208201774138	0.369764318816672	3.03123079048815	0.0024355900366055	0.042429841730592
g32	3924.27719187864	0.96148001571368	0.282865818729013	3.39910872793178	0.000676058347511905	0.0144004945113672
g33	1631.60359853045	1.43016491503119	0.231776746056142	6.17016742163286	6.82177206800311e-10	4.83284652284309e-08
g34	4904.0962792875	0.803715493465884	0.324018359389833	2.48055271109913	0.0131178866869596	0.169769239883737
g35	55.7716492383659	0.603043247350741	0.345169468557707	1.74677170652846	0.0806769462841739	0.504310009321464
g36	554.532452850426	0.555989878976745	0.295284038755555	1.88290275279692	0.0597135481112986	0.436955144710374
g37	10.9616394589196	1.34291506071283	0.441778336792369	3.0151504994511	0.00256851770656985	0.044502361133395
g38	608.878606343791	0.942958903529174	0.2665529834921	3.53740408882431	0.000404080917111975	0.0091117304283056
g39	68.6340486841169	0.818337288674451	0.289589115231795	2.82432917151818	0.00473796974949152	0.0742821806217997
g40	17.2316373968923	1.14979358000624	0.476574189860064	2.41052169419654	0.0159297239166764	0.193339948653672
g41	9945.59051823473	1.37383541401094	0.188803007385535	7.27651542927078	3.42552951779471e-13	3.73006803888622e-11
g42	99.6912124369034	-0.45991458407673	0.443913881259429	-1.0359779383948	0.300212434968972	0.836769128018708
g43	80.8694213372288	0.483089899198607	0.280695030825595	1.72098600377348	0.0852533636975321	0.519216270061249
g44	717.520818522354	0.324432522468787	0.370567670042951	0.875523168706477	0.381289309539957	0.889313448086065
g45	66.6437627968048	1.23789677524404	0.325575718283186	3.79812084175238	0.000145797243036391	0.00383078250659353
g46	5.27932841051877	-0.218288621734315	0.51800817965156	-0.420708825193858	0.673967716041174	0.963620269217531
g47	216.029888625291	0.778149074145433	0.459053846987038	1.69626024969187	0.0898366048348846	0.534074580219575
g48	53.101190617092	0.708439961633452	0.306463393088329	2.31066320994996	0.020851464856496	0.231081587355189
g49	1378.78992430662	1.06769743877952	0.31892019909121	3.34795807483153	0.000814093259486256	0.0166367263541166
g50	19.7578347031812	0.765204531009946	0.324148670510969	2.35709172096928	0.018418696859841	0.213782059183883
g51	42405.0973139547	1.79640813351896	0.216894793287094	8.2824727260692	1.20643594803819e-16	1.92305890117287e-14
g52	1879.89339397257	0.532438828574029	0.283055649507253	1.8810322668727	0.059967529678034	0.438371035660356
g53	104.853663245747	0.593476004006011	0.407813547624969	1.45519584836606	0.145615049926875	0.659092445575311
g54	34.6321588207175	0.816867980151246	0.449193321000901	1.81795551619225	0.0690709320293429	0.466673552479578
g55	3.88914666921105	0.488413731003391	0.509188897441061	0.957124115379911	0.338504612981825	0.864171064699839
g56	10.0566460776654	1.24674516825545	0.386988295401243	3.19334852768151	0.00140633096557538	0.0265813228354999
g57	5156.70524429743	1.25569776533478	0.281581241439044	4.45956367896594	8.21266707388673e-06	0.000280521242480902
g58	8001.91249689508	1.10669901331514	0.299412738762735	3.69636945674196	0.000218704635639402	0.00550445035593485
g59	539.072981441118	0.859196663657107	0.293356421899875	2.92878492100224	0.00340289797033256	0.0559858955779669
g60	1661.25648637342	1.52726705876771	0.358166457905974	4.26524590239823	1.9968215354834e-05	0.000622071699197501
