gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g1	26.4841669248643	0.454178101844583	0.344365260118875	1.31861860262289	0.187296651376932	0.750828476676885
g2	6.85054025871032	0.698594152996104	0.426319450695783	1.63639815240988	0.101756285624107	0.584908471017006
g3	101.722907691627	1.21559162969281	0.285750556511116	4.25282149808825	2.1109383880522e-05	0.000514657076267556
g4	430.906682060336	0.481566678623532	0.302422276519669	1.592372127377	0.111301115159147	0.610293991843576
g5	109.964875713036	1.35313835852986	0.401164838297711	3.37619308675605	0.000734963201290426	0.0132134751080919
g6	265.465892802879	1.57496636586631	0.197447439344125	7.97431644397482	1.53226485760089e-15	1.2980101285236e-13
g7	5.00946474932055	1.17122640253916	0.409664938833806	2.82725212100393	0.00469493477140045	0.0682130348472658
g8	3808.70759505492	2.69995497150199	0.0919014506028463	29.3758545039345	1.11744938530922e-189	1.11700240555509e-185
g9	121.85428771934	1.68951566058811	0.305629668074481	5.52498662743544	3.29510707855245e-08	1.26684193681578e-06
g10	947.771998770083	0.588558858286071	0.274730756393571	2.14234859820441	0.0321654408758899	0.300210781508305
g11	65.8860580801938	0.985284941241801	0.224229537429725	4.39196662340524	1.12329946402014e-05	0.000287910293393469
g12	151.607767755843	0.93635542414815	0.298013503001087	3.14154048719076	0.00168061570712356	0.0273161538348082
g13	236.518722482387	1.64429183267858	0.167154224921887	9.83293379093498	8.12176086052652e-23	1.23007759942156e-20
g14	712.825456282061	0.170529594578468	0.428269433114959	0.398198322879777	0.690484002115531	0.981466857157888
g15	2.70950364784224	0.58022498036106	0.471590900467801	1.23927805306797	0.215242543491293	0.788959846598677
g16	1443.8167655749	2.04145898967803	0.239679321791562	8.51714670136621	1.63532296288219e-17	1.63466883369703e-15
g17	6.62427949025833	0.320622394579133	0.448617027036379	0.716241228741993	0.473842409456437	0.924791564083301
g18	60.2615904920123	1.21595756064751	0.332534611239882	3.65425251229532	0.000257932324759745	0.00519816838366615
g19	222.896731018709	1.49142576721382	0.317174579679687	4.70193989985524	2.57701359941429e-06	7.40224940797276e-05
g20	88.1793914199146	2.04885912985104	0.382148148982387	5.36399231791083	8.14023673186253e-08	3.00257588087446e-06
g21	3.46761483795856	0.18439748682914	0.381459341643388	0.489944385930682	0.624173253262377	0.969189119025963
