gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g1	23.3684740530229	1.96372038379419	0.556460435131137	3.50834998187439	0.00045089545362467	0.013778787403114
g2	27.8433335291605	-0.305041417640973	0.566768662575624	-0.538584872081989	0.590173328246571	0.994724843942337
g3	2063.9993272632	0.743394407687931	0.437329020428692	1.70003568606655	0.0891242132374256	0.574125745738765
g4	8.38972843504362	0.784442252613265	0.593950091422584	1.35233307424597	0.176268788450432	NA
g5	68.7653099747624	1.69979679273208	0.48636754491542	3.49212027110281	0.000479202421823846	0.0144891239302865
g6	32.7827048219241	0.864134541271903	0.501921224124433	1.72005320366477	0.085422770984421	0.562088378883696
g7	232.032937967705	0.631842579016226	0.314002403206268	2.01214413082421	0.0442047458394242	0.399275682488843
g8	3529.54172016372	0.470670496115053	0.576148735383951	0.81766740515179	0.413547127181592	0.978003079346828
g9	416.167479414073	1.28837829532482	0.404061320702637	3.1886912516415	0.00142918434479617	0.0358842279788441
g10	436.325895973009	1.2616435890407	0.321916225189379	3.91864359427126	8.90486731553833e-05	0.00384381377429719
g11	9.34675741185218	-0.161368596190075	0.603606325125299	-0.2670739179197	0.789412248899829	0.995621952431353
g12	3391.19994293548	0.743431939840021	0.436315881515784	1.7040708650013	0.0883678489034352	0.57120848773252
g13	13535.6708380141	1.33592617827063	0.333945187683823	4.00060750356455	6.31800764037418e-05	0.0029485180221681
g14	75.4375469523058	0.338193492339626	0.529810048436528	0.638161660015322	0.523368451972325	0.994724843942337
g15	1444.34247089417	1.07151674805724	0.33251109607881	3.22249574535609	0.00127079053039992	0.0325739650284899
g16	100.314579336151	-0.0245458940882592	0.463209688677651	-0.0529817573710789	0.957746442805194	0.9977368931239
g17	433.953486939161	1.2077964535704	0.371334265075095	3.25243644490753	0.00114420180990659	0.0298640150202671
g18	393.142974263937	1.08095160706254	0.375747180327391	2.8766557360463	0.00401913814084564	0.078082215419551
g19	137.422565996966	-0.36651445205127	0.506452299971224	-0.762254461341081	0.445908147262961	0.986160471959755
g20	39.2740577671422	1.01335602084088	0.461857701836304	2.19294008023167	0.0283116965041744	0.301628458909859
g21	16.7545635930083	0.203727974617255	0.560249094151039	0.364025564433498	0.715838919506335	0.995621952431353
g22	1153.38977878383	1.12157126782807	0.377834924032416	2.96853142186216	0.00299226507114077	0.063600445955163
g23	258.732402634281	0.141682679315209	0.395762440231905	0.358016344747035	0.720331081856437	0.995621952431353
g24	177.329392737873	0.620051670073595	0.570988294269992	1.08717227896144	0.27696067945531	0.894419463889712
g25	684.717396887176	0.475709541632709	0.305302443931034	1.55817868217843	0.119190896948999	0.659057048237916
g26	1186.28835352433	0.328118481420892	0.367906377791628	0.891865473860413	0.372465042570739	0.957636569319865
g27	3523.45096093174	1.25242608587045	0.317065437225903	3.95008296412368	7.81241087839651e-05	0.00347591565869382
g28	1405.72565136943	1.14185914101809	0.367653318322975	3.10589006281512	0.001897072317585	0.0446305753180888
g29	2622.18362566709	0.327809569307204	0.458281738324676	0.715320686781685	0.474410908723692	0.990863381706707
g30	1338.63083428071	1.68577642350662	0.590852598493133	2.91438722970422	NA	NA
g31	1012.11450041397	0.657927080442567	0.304233484089893	2.16255630137012	0.0305753223429711	0.318242779344355
g32	242.791092682429	-0.0969273919734679	0.418272917995116	-0.231742500689234	0.816738019038665	0.99569778915252
g33	17168.7043305122	1.62107183525512	0.515526190460393	3.15252671194977	0.00161864011337308	0.0394865416293598
g34	2870.75618972754	0.705015205143377	0.481882803937286	1.46340448413986	0.143356732410426	0.711563156767818
g35	1248.85231650562	0.371814111064297	0.360556767400584	1.03124588443389	0.30242552837682	0.915528779376824
g36	475.354324309056	1.40706662406784	0.331138613349296	4.24848831381484	2.15217871431979e-05	0.00122389129932875
g37	809.26664697233	1.81914891233906	0.359198103730745	5.06398003912326	4.10592658955654e-07	4.2479026053641e-05
g38	11.5695583345726	0.368867793660067	0.553026404554992	0.679089857267293	0.497080928664625	0.993812310792492
g39	1162.98870655509	1.32026393241582	0.331134155491626	3.98702408852293	6.69072348055279e-05	0.00307236591056186
g40	26.4707755328029	0.711430919230013	0.499338763134526	1.42352214620296	0.154584846832756	0.735676731655433
g41	104.670841610826	0.429831990170683	0.330780882519992	1.2993996941172	0.193806796609905	0.802360329124502
g42	1255.05254683806	0.861467906978147	0.395711283225613	2.17710828696828	0.0294724889009499	0.309574372895506
g43	5055.57508322026	1.19289263593936	0.289981254792981	4.11370169915408	3.89364522280914e-05	0.0019552474577931
g44	814.729759328217	0.642746239491026	0.378855518396417	1.69658706688152	0.0897747566344338	0.575220607749739
g45	6.34942619894902	0.960261217434371	0.603540306160005	1.59807956684234	0.110025270438068	NA
g46	167.377393991932	1.56923854408094	0.560790326289087	2.81444202076967	0.00488619908967264	0.0878865650687305
g47	237.66655041881	0.975167392302813	0.285343783494134	3.41691540115038	0.000633349575793426	0.0182502443199267
g48	880.186793499202	0.764921387345131	0.32179428466967	2.37706777646085	0.0174508813112353	0.226019182231641
g49	216.438044556829	0.2823173596111	0.363648373537982	0.77639350052212	0.437516681057002	0.984630060131332
g50	4816.40442919827	1.61402812314503	0.246708936774852	6.54211382743952	6.06553064740432e-11	2.89359509273672e-08
g51	732.957214771367	0.798250455685646	0.323967440282204	2.46396275370391	0.0137410389781832	0.192173129813777
g52	1271.21548389658	2.93925482265122	0.515438295960387	5.7479928038873	9.03090817098141e-09	1.80345135963296e-06
g53	163.351807307396	0.694785505209002	0.344033606037242	2.01920480440457	0.0434659371838786	0.39774888528708
g54	2280.56282696607	1.06003511905761	0.306162903275612	3.46232683763143	0.000535526396013304	0.0159119901818901
g55	57857.3886410962	0.614886915648135	0.426674573643818	1.44121196333276	0.149524809605927	0.723733476876649
g56	59.0526965434613	0.699359955924496	0.465499354758161	1.50210902966402	0.133068953271269	0.692943057453236
g57	486.052982413891	1.2173197412827	0.406753379906025	2.9928635916291	0.00276373245588804	0.0598247467262169
g58	214.323737422348	1.47941306623884	0.316031284640482	4.67882230013248	2.88527358953213e-06	0.000240542177799149
g59	48.1349708838445	1.30911134784548	0.452541087478377	2.88865810466603	0.00386889478432851	0.0753337857438297
g60	511.635419026003	1.39547180851648	0.420489337298117	3.31906827007403	0.00090318345340822	0.0246994787083324
g61	380.031889442722	2.38406425510913	0.273300140972529	8.71331307474506	2.95120134369751e-18	1.26709829691653e-14
g62	3.15879274594198	0.107424648246966	0.543256354722376	0.199059478472143	0.84221621834343	NA
g63	8.818082555288	0.203744973265038	0.556374498788173	0.368661833716553	0.712379800175505	NA
g64	56.2623529393022	0.735020256848344	0.499290755834082	1.47207435851242	0.141000798865296	0.70722772187868
g65	221.773306097173	1.04396250109759	0.371167420416432	2.81209208637279	0.00492204097431061	0.0881515703271561
g66	154.763064890976	1.03155248141572	0.472739144952813	2.18280028793242	0.0290505204740164	0.307212831663028
g67	1909.20330343957	1.06447463553278	0.268510216540512	3.964292376972	7.36139843678215e-05	0.0032923087696171
g68	10.7567490120393	0.994730133386497	0.571406168381846	1.73683286409561	0.0824166763668796	0.553765258186538
g69	277.789021971135	1.02470252047193	0.330197275429888	3.10299181362194	0.00191574939580135	0.044820592715211
g70	2413.55103873708	1.22699374975831	0.278014893211001	4.41334990063654	1.01783293837083e-05	0.000667185606243536
g71	1.53924184830745	0.0265780056438003	0.468965447327896	0.0570565893415402	0.954500116743066	NA
g72	1304.28005816721	2.01426373998632	0.578176052382103	3.55072353637677	0.000384173738247341	0.0123554303008611
g73	2280.84253329743	0.412265044191144	0.307684919614096	1.33989981692054	0.180277917647198	0.780265362316781
g74	124.513017051538	1.05181586144661	0.466792407438373	2.25372172791946	0.0242136795767678	0.272182615753047
g75	623.381983401682	2.030040114288	0.384344181736442	5.28122977727016	1.28319636199512e-07	1.64498729926944e-05
g76	6464.44638958579	-0.0105548009429339	0.450233726854606	-0.0234395730263048	0.98129963895824	0.998356695118202
g77	1208.71414875019	0.828872133223301	0.348981251275819	2.37514793974898	0.0175419178089297	0.226704468478761
g78	1871.09004567458	1.3787093386146	0.367314156995957	3.75372693487338	0.00017422465475558	0.00650463961037462
g79	53.9782625636661	0.623820652856124	0.537291327484205	1.16180764205405	0.245313609171986	0.860901816179338
g80	6.60996438568393	-0.28691852912112	0.60108136081127	-0.478959759395369	0.631967256341099	NA
g81	39.6320194074299	0.769030927250508	0.524091526479919	1.46784316065439	0.142146830554991	0.709077125409622
g82	114.161707573569	1.02787895255462	0.426631975503764	2.40889563644627	0.0160008728304204	0.212363979899258
g83	324.536874971643	1.14558527020085	0.295058142196374	3.88198282629692	0.000103608195988918	0.00429798830413933
g84	118.222598959106	0.181177179427004	0.527705093172543	0.346197118337978	NA	NA
g85	4.2378253235575	0.169223529538281	0.530007915938694	0.322174789177192	0.74732028241219	NA
g86	138.886434500958	2.09203313160645	0.527537644117849	3.97778743836433	6.95595109644538e-05	0.00312726450603018
g87	26.5161811351846	-0.81576794634476	0.588437557319044	-1.39005816702811	0.164511214976506	0.752630114453063
g88	127.23778751439	0.614844343008398	0.418803630681965	1.46825882029318	0.142033932126707	0.709077125409622
g89	424.472243497532	2.37211578146318	0.316963620639803	7.47692814722528	7.60799837888448e-14	8.16623525993513e-11
g90	359.46185862298	0.496667121545071	0.375766559013218	1.32176076886175	0.186247825845284	0.790563559334382
g91	99.5882220497406	1.98276908932147	0.602355897928549	3.50852912652004	0.000450591892361859	0.013778787403114
g92	2248.46705207303	1.91524208090372	0.323945774614723	5.91214650142036	3.37677987576925e-09	7.24910219830763e-07
g93	5.59329870523341	0.79195154423265	0.601759062880181	1.3161460741252	0.188125019220514	NA
g94	20.2823605414098	0.283658623777446	0.596185970901506	0.475615362003397	0.634348429059508	0.994724843942337
g95	1882.80994395288	0.594373388358617	0.360424525951101	1.64911359380867	0.0991243652122155	0.605274214817849
g96	3855.54629603773	0.962417951476271	0.285226134609011	3.37422740939773	0.000740231884086966	0.020840561274278
g97	416.841968856528	1.10060247802851	0.486472873705759	2.26365860746863	0.0235951201883094	0.269429916299219
g98	493.557764097829	1.78459489975738	0.455224423661053	3.92256260136083	8.76121192475425e-05	0.00381890998973933
g99	7.05001156004568	0.763650539500764	0.590620423853162	1.29200811571795	0.196354334058396	NA
g100	137.386502630191	1.31262684325088	0.560717843483492	2.35050366716621	0.0187480229199252	0.237031654425112
g101	256.850171078988	1.07964402831085	0.36665207185773	2.94431514473753	0.00323670234993412	0.0666676512748078
g102	5680.0679346833	0.823246793979555	0.311228067285843	2.64517954995055	0.00816475804491813	0.127706333937545
g103	144.235258821788	-0.448751268235432	0.588138437999361	-0.764165779022489	0.4447684568821	0.986160471959755
g104	921.479461247846	2.13174033598356	0.395845846470021	5.38582600784021	7.21126972993436e-08	1.03205288618244e-05
g105	1038.4442244118	0.381481009923577	0.304708199279987	1.25196548340086	0.210582441577553	0.826039608749044
g106	130.751764652414	1.1571241069578	0.500694644683449	2.31175611914069	0.0207911268491858	0.25039748422715
g107	7089.07676578321	0.926227471269274	0.250102255205241	3.70338896478082	0.000212738317403864	0.00758001631347296
g108	1855.6916281461	0.821217035576158	0.430091199229559	1.90961477774287	0.0561828309881108	0.460785071341841
g109	263.166198353912	0.933325330015691	0.382991703922019	2.43674411482768	0.0148201624663467	0.200882546489674
g110	5.54308945471395	-0.0455698195638615	0.600532536611171	-0.0761465697149407	0.939302490388729	NA
g111	98.5770405259543	0.527172570492701	0.56481403450512	0.934038174650899	0.350284201544478	0.945273192153208
g112	10.906792565004	1.11997418194926	0.58768235622221	1.90557326883387	0.0567055930218148	0.46341142572351
g113	186.97476126151	1.24250222281358	0.551303789919968	2.26031416291276	0.0238017595932787	0.270709549175476
g114	1211.60411748396	1.32356859336632	0.377664604523868	3.50479139681787	0.000456965182251391	0.0138655831095148
g115	8055.24470308065	2.09863178905118	0.331373933071867	6.33364474160409	2.39436475126521e-10	7.90785004581322e-08
g116	20.9873447290026	1.45309428203367	0.59621767957276	2.46973459241017	0.0135213329332084	0.189408949261762
g117	21.0723362767661	0.986988896261086	0.499917909504919	1.97145205664851	0.0486721917184067	0.420720079285104
g118	501.371447086899	1.52940060623961	0.289527326625176	5.28118642900031	1.28350004717657e-07	1.64498729926944e-05
g119	166.052003972421	1.64073194441649	0.387720509246888	4.22848384436666	2.35271406877083e-05	0.00127876989124848
g120	2495.44757907098	1.44572486299098	0.340151502000158	4.2503707745118	2.13416937079577e-05	0.00122174082580155
g121	666.940690881296	1.54605254084992	0.350832175746426	4.40647616886273	1.05065861716026e-05	0.000683485268602663
g122	36.3360099465623	1.28529809233847	0.552914129382738	2.3286567117187	0.0198772590945467	0.245238540007001
g123	3.50171632273217	0.510541521648538	0.593188601736055	0.864112171314634	0.387526273449719	NA
g124	1300.924698055	0.739252260098105	0.433826364679353	1.70419835526835	0.0883440363882948	0.57120848773252
g125	64.9666261361592	1.16491310646688	0.374917177971083	3.10405543532462	0.00190887561235602	0.0447855597904403
g126	717.768665462456	0.71621596970421	0.406749427085366	1.76094120873683	0.0782483541997134	0.53796526622333
g127	2099.00109705471	1.35758266300654	0.276327006716748	4.91282408255244	8.97738203733887e-07	8.47129445655262e-05
g128	13476.314332919	1.49481394674523	0.374586390781525	3.99110480874321	6.57662061521201e-05	0.0030401229621126
g129	50.5068175497198	0.876119436821072	0.455089295391905	1.92466573512374	0.0542711898249994	0.449832728790801
g130	2894.6839107729	1.59899702733195	0.315082784024898	5.07485829844394	3.87784875209995e-07	4.11099842398546e-05
g131	142.108227395055	0.934095185163718	0.517706275337321	1.80583678956919	0.0709438370154563	0.516386212541183
g132	4291.08195368426	1.51068508748088	0.451628180396858	3.34702303225268	0.000816844232255072	0.0225538309401103
g133	26.6714693279035	0.340790309651764	0.603003679580049	0.56672025170474	0.57090425946036	0.994724843942337
g134	665.037623881151	0.76913690198527	0.336317075419766	2.28690091282675	0.022201607337263	0.260088952530802
g135	11947.1229171536	0.446565708099242	0.273332712534437	1.63378526586557	0.10230394719217	0.613196657059878
g136	607.832549877582	0.236085769574485	0.342879100698761	0.688531198083011	0.491118330875928	0.993812310792492
g137	3581.09502113816	1.8631083703209	0.428571581740815	4.3496813789231	1.36335478059345e-05	0.000854534854084374
g138	32.3129225483584	1.12129872345625	0.576667766605335	1.95052072904954	0.0511140851573897	0.433283957795168
g139	92.8207336505036	0.855623480104643	0.466805829355566	1.83311747707924	0.0667851025768509	0.504311147343627
g140	14.5170036574231	0.103860745359549	0.585390076485174	0.177163951731486	0.859379610070727	0.99569778915252
g141	11.2007939989663	0.819491573714277	0.582345946184928	1.40750590841689	0.159277426482981	0.746162171963643
g142	538.460028291418	0.650149197760005	0.374072358869897	1.73804016842618	0.0822037361885698	0.552767018520946
g143	36.0021294273426	0.461405047008586	0.514922374401775	0.895958821009453	0.370274756737801	0.955977798683912
g144	73.9750870075226	0.248232838189765	0.583437326578122	0.425499416433044	0.6704726469308	0.994724843942337
g145	2169.27994060557	0.489705120848308	0.335498726016817	1.45965474947767	0.144384984112307	0.713280157528232
g146	740.143494529917	1.31663705793671	0.289030486807646	4.55494914991243	5.23982520961399e-06	0.000394687535745222
g147	386.268766429802	0.261837773435278	0.398679196352681	0.656758805811688	0.511336015791263	0.994724843942337
g148	2059.56496417558	1.09874557498507	0.332528366917087	3.30424187658739	0.000952336286575631	0.025878834470965
g149	1177.09256459379	1.98556449099253	0.391646372729842	5.07041341975694	3.96952469090713e-07	4.15686689278287e-05
g150	321.362537292286	1.01960716289372	0.323581183962689	3.15055006006611	0.0016296332674982	0.0395065209771485
g151	6430.05103473858	1.0091505149465	0.364114466416329	2.77165825385854	0.00557715550948855	0.0975377481873283
g152	1671.42660681998	2.02491525233426	0.59942130534107	3.56454384810777	0.000364489517784276	0.0119310640480496
g153	886.523159410831	1.30048241987196	0.358027571521069	3.63225332456608	0.000280957104556028	0.0098700352320744
g154	2973.52127955102	1.08469480960306	0.308658288898231	3.51422292541866	0.000441042513585213	0.0136723179211416
g155	34.030167956652	1.5342847832296	0.565078216709401	2.7211911973987	0.00650471270895809	0.10617664951925
g156	479.82096751246	0.00582442668209623	0.419327927808401	0.0138925899038631	0.988915673560612	0.998412420041753
g157	294.698433100801	1.08519968626503	0.510791882688364	2.12638824841743	0.0334709454455548	0.33810174541314
g158	934.725901281578	0.492994102633305	0.427508425145543	1.15318964802991	0.248832551565347	0.865482194322142
g159	768.326640600902	1.59870534689408	0.283039790467301	5.64745163007364	1.62843631505126e-08	2.85375155864188e-06
g160	1167.5655434681	1.06726891332507	0.327840564887801	3.25538464727456	0.00113238886335698	0.0298640150202671
g161	14.5827079478984	-0.567234976431027	0.601238697166664	-0.956104702153664	0.339019339410214	0.936666366639481
g162	970.215245731787	1.06651926187153	0.402374909778543	2.65071257391902	0.00803221639737973	0.12655530679688
g163	36.8502199262906	0.0195809282672091	0.50173197631737	0.0390310641472751	0.968865621868799	0.9977368931239
g164	2851.41411121411	0.528680695985208	0.478710765580571	1.10452860055446	0.269363904019186	0.885884070086004
g165	314.770569362445	1.58899776749591	0.449088986664571	3.53928243561311	0.000401216338891018	0.0127601655631747
g166	4.17162528759871	0.421032649170582	0.601378469715554	0.699878114878413	0.484003425910506	NA
g167	18.5556001035283	0.71958972269524	0.598297061717589	1.20631362466329	0.227696586235546	0.844473214668833
g168	906.489203613978	1.14812015079962	0.41655538416068	2.75653764745192	0.00584168875038704	0.100325162599147
g169	468.716746394882	0.6701953318437	0.330077511443328	2.03041998386733	0.0423138670422586	0.389859631214457
g170	40.6931167720992	0.34562199719607	0.496215281745716	0.696904820048499	0.485862361101828	0.992412011127829
g171	986.338782901295	0.438875945965124	0.286230647033672	1.53330967406545	0.125199572138148	0.674459677509583
